icao24,callsign,origin_country,longitude,latitude,altitude_ft,speed_knots,airline,origin,destination,flight_phase,is_anomaly,anomaly_score,timestamp
a0876b1,AAL6319,United States,-145.3623131399209,71.95745641585629,31945.757972763047,514.065498840666,AAL,FRA,FRA,Climb,True,0.0,2023-01-02T09:29:00
a058c0d,BAW1513,United States,171.8208752704262,-60.30988112347646,22089.360146305648,541.0834245251685,BAW,LHR,FRA,Descent,True,0.0,2023-01-02T02:28:00
a04df27,DLH6622,United States,-40.967421669826365,79.39417155487638,15342.214930247512,322.446075177428,DLH,ORD,LHR,Climb,False,0.0,2023-01-02T14:01:00
a035761,SWA6432,United States,155.42524670325264,34.00566728904617,11278.403819453595,449.6420875330824,SWA,DFW,HND,Cruise,False,0.0,2023-01-02T06:18:00
a0965f4,KLM2871,United States,132.66967241339523,-15.267097062768514,21567.579587396118,381.8283958610411,KLM,HND,ORD,Descent,False,0.0,2023-01-02T19:19:00
a0aca70,AAL7362,United States,128.85514531279676,-88.50013848097261,26054.981552072222,456.76274009089013,AAL,LHR,SIN,Climb,False,0.0,2023-01-02T22:37:00
a08650a,AAL5035,United States,-36.40736213943714,-39.805541522392026,19145.209992905584,545.0346214342359,AAL,FRA,ORD,Descent,False,0.0,2023-01-02T17:40:00
a0504c6,DAL2314,United States,-7.182887655220981,-5.731193142209847,30345.668320103487,369.62012720940686,DAL,LHR,ORD,Descent,False,0.0,2023-01-02T11:21:00
a0d43be,BAW6523,United States,176.43199703559907,32.845573030244495,39052.66248728594,520.1212253467552,BAW,HND,HND,Climb,False,0.20441548392037526,2023-01-02T10:58:00
a0348b6,AAL8609,United States,164.42655907866788,-35.40452861261103,20931.137242418743,433.3938647257794,AAL,LAX,CDG,Cruise,False,0.0,2023-01-02T16:16:00
a09394f,UAL7724,United States,-78.22857448408796,-54.61408100814976,17426.137858681694,516.7594716781748,UAL,HND,LAX,Cruise,False,0.0,2023-01-02T00:26:00
a0ea8e0,AAL1876,United States,-70.47797649141701,44.72934786005004,23129.0980564073,484.33190122203763,AAL,FRA,LHR,Descent,True,0.0,2023-01-02T20:19:00
a05a4f9,AAL8752,United States,177.30764562563155,10.483225746235135,22532.86849079648,434.0221488418226,AAL,HND,SIN,Climb,False,0.0,2023-01-02T04:35:00
a06300b,AFR6781,United States,-48.85428156415733,14.123252030014001,38072.50223320107,395.36063822027216,AFR,JFK,LHR,Cruise,False,0.0,2023-01-02T15:29:00
a0ec246,SWA4600,United States,153.14765615219636,31.550281424275965,17807.950324728037,489.35830093316184,SWA,DXB,JFK,Descent,False,0.0,2023-01-02T13:15:00
a0e4778,BAW5236,United States,43.00642998864075,42.1375128742373,15234.524066688846,484.37318148637297,BAW,ORD,DXB,Cruise,False,0.0,2023-01-02T14:00:00
a0d7b19,BAW6152,United States,97.70931610203536,-13.517484296291755,34616.20868249648,300.1341382278896,BAW,FRA,CDG,Climb,False,0.0,2023-01-02T05:13:00
a03c213,AAL1426,United States,178.0401810144332,21.4543632037215,13807.237811643225,301.71121233803905,AAL,FRA,HND,Climb,False,0.0,2023-01-02T09:20:00
a02716b,DAL3598,United States,-48.23803613703774,-23.074980110539954,36480.812721709124,314.5378178818211,DAL,LHR,LHR,Climb,False,0.0,2023-01-02T17:51:00
a0817d5,DLH7035,United States,41.29274404930274,-61.431974995549766,17796.8713208442,345.25695913721137,DLH,JFK,LAX,Descent,False,0.0,2023-01-02T04:17:00
a09ddee,DAL7684,United States,-22.72402534048325,61.25237083665306,15004.96652154484,378.8527520615511,DAL,HND,CDG,Cruise,False,0.0,2023-01-02T06:46:00
a04c861,DAL9867,United States,-97.63365397495164,85.28314155468934,14444.744341361251,468.61046330130785,DAL,FRA,LAX,Cruise,False,0.0,2023-01-02T03:45:00
a01b9b6,BAW711,United States,85.80897120746283,84.00428061507964,19480.01641833476,480.4346915801016,BAW,DXB,JFK,Cruise,False,0.0,2023-01-02T20:54:00
a0e37bc,DAL1202,United States,21.685330712918613,3.498681861839131,12758.478408871208,363.16465707214616,DAL,JFK,LHR,Climb,False,0.0,2023-01-02T08:04:00
a0a4939,SWA5070,United States,-83.73570896290083,-47.464218769981585,20122.317783810868,532.513154786569,SWA,LAX,ORD,Descent,False,0.0,2023-01-02T14:30:00
a07b34d,UAL8994,United States,-24.375113337327264,34.91024125853771,24333.55119250063,307.4425565993718,UAL,FRA,HND,Climb,False,0.0,2023-01-02T00:52:00
a066cc7,DLH2013,United States,155.5102293508112,-13.665089738678404,12265.002665577143,456.57008446122074,DLH,SIN,FRA,Cruise,False,0.0,2023-01-02T09:19:00
a09951a,AFR5407,United States,52.40189126916334,-13.511352428998109,17810.51139754081,379.48309638022613,AFR,ORD,ORD,Cruise,False,0.09210630678071675,2023-01-02T15:08:00
a0783ea,AAL4430,United States,168.27710447061463,69.01241534141712,25283.951766291553,328.2536893089607,AAL,FRA,SIN,Cruise,True,0.0,2023-01-02T19:19:00
a03b559,DLH8431,United States,-15.838772116821588,77.41361492399918,12294.125565070804,542.8782432939963,DLH,FRA,JFK,Descent,False,0.0,2023-01-02T05:22:00
a0403b2,SWA2081,United States,-23.105964157289407,61.56829925356348,33504.701040778426,494.6435087512442,SWA,HND,FRA,Climb,False,0.0,2023-01-02T00:09:00
a0a1bf1,AFR1492,United States,-11.550517713300394,47.31682254381471,17769.494823904588,459.6457555802318,AFR,HND,HND,Climb,False,0.0,2023-01-02T18:53:00
a0310e8,AFR3363,United States,-28.598146795410315,3.1259996815621776,25032.81129824392,488.2633823130469,AFR,LAX,DFW,Climb,False,0.0,2023-01-02T10:43:00
a05546e,AFR1366,United States,111.17643279306787,-42.32242264608805,25181.37845019094,319.52249792615294,AFR,ORD,FRA,Cruise,False,0.0,2023-01-02T00:26:00
a06c706,AAL3058,United States,124.37348948355515,66.35104390455419,27041.160599179915,540.4601599429775,AAL,DFW,LHR,Cruise,False,0.10698647488070384,2023-01-02T15:39:00
a0e5275,DAL1987,United States,-179.32778247533952,45.70757614454661,38267.6765840714,317.6066830257345,DAL,LAX,SIN,Climb,False,0.0,2023-01-02T03:57:00
